PEP ID	FIT EST	WEIGHT
PEPNR00000000002	1.3289846173173974	71696.45747067865
PEPNR00000000003	1.6792530189998722	54191.48413722928
PEPNR00000000004	1.5295019312780895	57601.627826340155
PEPNR00000000005	1.0776078859366272	92261.39600535008
PEPNR00000000006	1.2413044694210271	69512.75363359305
PEPNR00000000007	1.5299536497157429	48475.659767869256
PEPNR00000000008	1.4894621085686972	45862.52276936755
PEPNR00000000009	1.5010130428989386	48697.45828838736
PEPNR00000000010	1.4445067210396165	42135.95146194554
PEPNR00000000011	1.3686550992533595	53678.209999228304
PEPNR00000000012	1.5732339170606195	43309.09112576679
PEPNR00000000013	1.4410210279834565	36529.44919438902
PEPNR00000000014	1.3638127448027921	49285.92401619234
PEPNR00000000015	0.7506614734675378	52606.19414835153
PEPNR00000000016	1.4989653298948444	39107.04100056297
PEPNR00000000017	1.26979748206266	41615.13801912716
PEPNR00000000018	1.423848530582981	35959.98853359166
PEPNR00000000019	1.3167392839468168	34463.92502426421
PEPNR00000000020	1.1152352694104395	38661.77954612069
PEPNR00000000021	0.9925266245010499	50254.60561904882
PEPNR00000000022	0.8415731239988189	49101.90943701846
PEPNR00000000023	1.0701444867309746	47007.51686180248
PEPNR00000000024	1.6935882922156207	31326.153476665535
PEPNR00000000025	1.0024972734338136	37646.90611356636
PEPNR00000000026	1.5127642483979669	28493.49174926237
PEPNR00000000027	0.8651802833350881	43437.83541582197
PEPNR00000000028	1.4249622790116843	30693.738490057658
PEPNR00000000029	1.634043201715684	33039.35879949824
PEPNR00000000030	0.30320372583012123	53814.45625783263
PEPNR00000000031	1.5657622840646532	32735.069768048757
PEPNR00000000032	1.6366772126233708	32501.138776992793
PEPNR00000000033	0.913615987731881	40566.43805858454
PEPNR00000000034	1.3450878614434	22088.041288507604
PEPNR00000000035	1.1249757766286903	35556.56240734811
PEPNR00000000036	1.4403081534211009	28395.00084826498
PEPNR00000000037	1.6699542732257346	30838.99164759281
PEPNR00000000038	0.9956469797091834	41855.60993798804
PEPNR00000000039	1.285822815445525	30734.501519596055
PEPNR00000000040	1.1542354920930573	27713.184505530557
PEPNR00000000041	1.3362535011443977	31109.731922278537
PEPNR00000000042	0.8509483593517961	28833.66349114736
PEPNR00000000043	1.042101882073571	31328.93109660087
PEPNR00000000044	1.0110610350694023	16014.383370211364
PEPNR00000000045	0.35032984612531454	40088.888044303734
PEPNR00000000046	1.4358113031816948	18915.03481373921
PEPNR00000000047	0.7889438541858163	29422.90909404267
PEPNR00000000048	0.8574177851422831	32371.066597843947
PEPNR00000000049	1.0674387121959512	22325.041562319388
PEPNR00000000050	0.3702806075177001	40028.12399146151
PEPNR00000000051	1.0048485548730859	22534.255163107646
PEPNR00000000052	1.0004522742332185	29468.582754814408
PEPNR00000000053	0.4860921374397149	37063.76446974258
PEPNR00000000054	1.4325151326360124	24108.7873680903
PEPNR00000000055	1.5863134814527187	24599.80539196023
PEPNR00000000056	1.198529504138607	29656.806733547885
PEPNR00000000057	0.7108767098464874	30782.967800637045
PEPNR00000000058	1.4634802963280977	19346.189103969504
PEPNR00000000059	0.18405824071693527	63394.84874481672
PEPNR00000000060	0.4568690263287556	30734.429660740516
PEPNR00000000061	0.17044304289616133	96640.90305124197
PEPNR00000000062	1.545643733757299	18784.57288304133
PEPNR00000000063	0.8422480281189189	18238.101655298284
PEPNR00000000064	1.5155541255437666	18936.50250875895
PEPNR00000000065	0.20570038423215325	46001.635841042626
PEPNR00000000066	1.5066663036570747	17432.118154200216
PEPNR00000000067	1.465526008497549	18198.626302998007
PEPNR00000000068	1.528759152846221	18685.40180239493
PEPNR00000000069	0.662769921194071	25963.66321180612
PEPNR00000000070	0.2716213455848774	38798.6984099005
PEPNR00000000071	1.485578770222133	19272.74490187378
PEPNR00000000072	0.8227932436412899	29313.85195556337
PEPNR00000000073	0.7943286563765066	24385.737531732746
PEPNR00000000074	1.4090007976713372	22220.097530536335
PEPNR00000000075	1.413968921164058	20595.620064905706
PEPNR00000000076	0.3103815236164622	30764.828521855845
PEPNR00000000077	0.22316459739803815	40492.24445058316
PEPNR00000000078	0.21064430339529508	38519.56631869089
PEPNR00000000079	0.5640507358309357	21082.445508748766
PEPNR00000000080	0.9418384440284171	23099.47689870495
PEPNR00000000081	0.9878096813614622	19404.007230019764
PEPNR00000000082	1.5622013316203605	16704.474497934374
PEPNR00000000083	0.9416956714349285	21536.421911822847
PEPNR00000000084	0.8906776001793648	16840.801601781488
PEPNR00000000085	0.3527297544795753	26321.67739944581
PEPNR00000000086	1.7249058522178389	15181.939280131844
PEPNR00000000087	0.5628632897466761	25980.672671190274
PEPNR00000000088	0.9003075989051756	30700.76619997285
